ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,העוצמה ביחס לסף הבריאותי [%],תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,טכנולוגיית שידור
5648,PHI (משרת את הוט ופרטנר),NN4139D,דיר אל-אסד,דיר אל-אסד,מ.מקומית דיר אל-אסד,שגור,226186,758942,מתקן גישה אלחוטי,27/02/2019,07/11/2023,08/09/2024,יש היתר,52.63,6.44,רמה זו צפויה במבנה מגורים - מרפסת גג במרחק 19 מטר,http://documents.sviva.gov.il/B001_1_NN4139D_20190227_1939.pdf,http://documents.sviva.gov.il/B002_1_NN4139D_20231107_0937.pdf,דור 2 3 4
5649,PHI (משרת את הוט ופרטנר),IN4510C,חיפה,"רח` סחרוב  מת""ם",עירית חיפה,חיפה,196404,743919,אתר זעיר פנימי,12/05/2024,11/09/2024,08/09/2024,יש היתר,26.81,5.43,במפלס הרצפה מול אנטנה פנל במרחק 0.5 מטר,http://documents.sviva.gov.il/B001_1_IN4510C_20240512_1251.pdf,http://documents.sviva.gov.il/B002_1_IN4510C_20240911_1139.pdf,דור 3 4
5650,PHI (משרת את הוט ופרטנר),IN4684B,יובלים,משגב- א.ת. תרודיון מפעל תפרון,מ.א משגב,תרדיון,225480,752560,אתר זעיר פנימי,12/05/2024,15/09/2024,08/09/2024,יש היתר,29.77,3.18,במפלס הרצפה מול אנטנה פנל במרחק 0.5 מטר,http://documents.sviva.gov.il/B001_1_IN4684B_20240512_1251.pdf,http://documents.sviva.gov.il/B002_1_IN4684B_20240915_0928.pdf,דור 3 4
5651,PHI (משרת את הוט ופרטנר),IN4879B,חיפה,"אלביט מת""מ",עירית חיפה,חיפה,196707,743795,אתר זעיר פנימי,04/05/2015,15/09/2024,08/09/2024,יש היתר,28.58,4.01,במפלס הרצפה מול אנטנה כלל כיוונית במרחק 0.5 מטר ממנה.,http://documents.sviva.gov.il/B001_1_IN4879B_20150504_0824.pdf,http://documents.sviva.gov.il/B002_1_IN4879B_20240915_0914.pdf,דור 2 3 4
5652,PHI (משרת את הוט ופרטנר),IN4961A,חיפה,"מת""מ  - א.ת. דרומי  - חיפה",עירית חיפה,חיפה,196682,743903,אתר זעיר פנימי,04/07/2010,15/09/2024,08/09/2024,יש היתר,24.47,5.24,מפלס הרצפה,,http://documents.sviva.gov.il/B002_1_IN4961A_20240915_0913.pdf,דור 3 4
5653,PHI (משרת את הוט ופרטנר),NC0907A,עתלית,"כביש ת""א חיפה",מ.מקומית עתלית,עתלית,195981,734809,תורן קרקעי,02/05/2024,19/09/2024,08/09/2024,יש היתר,4.97,0.73,מבנה משרדים במרחק 180 מטר,http://documents.sviva.gov.il/B001_1_NC0907A_20240502_1024.pdf,http://documents.sviva.gov.il/B002_1_NC0907A_20240919_0852.pdf,דור 2 3 4
5654,PHI (משרת את הוט ופרטנר),NC4859C,כפר יהושע,מרכז,מ.א עמק יזרעאל,כפר יהושע,214641,731795,תורן על הגג,19/12/2023,23/09/2024,08/09/2024,יש היתר,1.76,0.32,דרך התבואה 5 במרחק 61 מטר,http://documents.sviva.gov.il/B001_1_NC4859C_20231219_1642.pdf,http://documents.sviva.gov.il/B002_1_NC4859C_20240923_1233.pdf,דור 2 3 4
5655,PHI (משרת את הוט ופרטנר),MN4907D,קיסריה,שכונה 11+13,מ.א חוף הכרמל,קיסריה,192025,710140,תורן קרקעי,19/03/2020,31/12/2020,09/09/2024,יש היתר,1.44,0.34,במבנה חד קומתי במרחק 100 מטר,http://documents.sviva.gov.il/B001_1_MN4907D_20200319_1038.pdf,http://documents.sviva.gov.il/B002_1_MN4907D_20201231_1117.pdf,דור 2 3 4
5656,PHI (משרת את הוט ופרטנר),NC4370C,זכרון יעקב,זכרון יעקב,מ.מקומית זכרון יעקב,זכרון יעקב,195859,719992,אנטנת עוקץ,06/02/2017,20/12/2021,09/09/2024,יש היתר,1.77,0.23,בבחלון דוכן מפעל הפיס במרחק 32 מטר,http://documents.sviva.gov.il/B001_1_NC4370C_20170206_1020.pdf,http://documents.sviva.gov.il/B002_1_NC4370C_20211220_1841.pdf,דור 2 3 4
5657,PHI (משרת את הוט ופרטנר),NC1875A,עין כרמל,בכניסה לקיבוץ עין כרמל ליד דתחנת הדלק אלון,מ.א חוף הכרמל,עין כרמל,196639,731494,תורן קרקעי,14/12/2016,20/12/2021,09/09/2024,יש היתר,0.6,0.1,בתחנת דלק אלון במרחק 35 מטר,http://documents.sviva.gov.il/B001_1_NC1875A_20161214_0655.pdf,http://documents.sviva.gov.il/B002_1_NC1875A_20211220_1839.pdf,דור 2 3 4
5658,PHI (משרת את הוט ופרטנר),TC0012B,רמת גן,זבוטינסקי 4,עירית רמת גן,רמת גן,181492,665545,תורן על הגג,11/10/2021,22/12/2021,09/09/2024,יש היתר,68.25,9.72,ברח` מעיין 12 - מבנה מגורים -קומה 1 במרחק 30 מטר,http://documents.sviva.gov.il/B001_1_TC0012B_20211011_1753.pdf,http://documents.sviva.gov.il/B002_1_TC0012B_20211222_1512.pdf,דור 2 3 4 5
5659,PHI (משרת את הוט ופרטנר),NE4320A,נוף הגליל,נצרת,נוף הגליל,נצרת עילית,228864,733336,אנטנת עוקץ,15/12/2020,02/01/2022,09/09/2024,יש היתר,12.26,1.64,בבניין בהקמה במרחק 26 מטר,http://documents.sviva.gov.il/B001_1_NE4320A_20201215_0839.pdf,http://documents.sviva.gov.il/B002_1_NE4320A_20220102_1352.pdf,דור 2 3 4 5
5660,PHI (משרת את הוט ופרטנר),NS4095D,בית חרות,מגדל פלאפון - בית חרות,מ.א עמק חפר,עמק חפר,187718,697837,תורן קרקעי,09/10/2012,10/01/2022,09/09/2024,יש היתר,1.06,0.25,מבנה,http://documents.sviva.gov.il/B001_1_NS4095D_20121009_0744.pdf,http://documents.sviva.gov.il/B002_1_NS4095D_20220110_1321.pdf,דור 2 3 4
5661,PHI (משרת את הוט ופרטנר),NS3423B,צורן,ליד צורן,מ.מקומית צורן,לב השרון,195503,688670,תורן קרקעי,03/11/2022,15/12/2022,09/09/2024,יש היתר,19.37,3.35,בהנירים 17 במרחק 102 מטר,http://documents.sviva.gov.il/B001_1_NS3423B_20221103_1325.pdf,http://documents.sviva.gov.il/B002_1_NS3423B_20221215_1332.pdf,דור 2 3 4
5662,PHI (משרת את הוט ופרטנר),WE0890B,פתח-תקווה,ארלוזורוב,עירית פתח תקווה,פתח תקווה,188579,665840,מתקן גישה אלחוטי,23/01/2019,31/10/2023,09/09/2024,יש היתר,55.44,6.8,מרפסת שכן במרחק 5 מטר,http://documents.sviva.gov.il/B001_1_WE0890B_20190123_1433.pdf,http://documents.sviva.gov.il/B002_1_WE0890B_20231031_1523.pdf,דור 3 4
5663,PHI (משרת את הוט ופרטנר),NE4393A,כפר החורש,כפר החורש,מ.א עמק יזרעאל,עמק יזרעאל,226099,734308,תורן קרקעי,09/10/2023,31/10/2023,09/09/2024,יש היתר,11.77,2,סככה 3 במרחק 51 מטר,http://documents.sviva.gov.il/B001_1_NE4393A_20231009_1258.pdf,http://documents.sviva.gov.il/B002_1_NE4393A_20231031_1503.pdf,דור 2 3 4 5
5664,PHI (משרת את הוט ופרטנר),WE0782A,בני ברק,אמרי ברוך 24,עירית בני ברק,בני ברק,184634,664524,מתקן גישה אלחוטי,19/10/2023,07/11/2023,09/09/2024,יש היתר,42.62,5,מבנה משרדים קומה 2 במרחק 30 מטר,http://documents.sviva.gov.il/B001_1_WE0782A_20231019_0739.pdf,http://documents.sviva.gov.il/B002_1_WE0782A_20231107_0925.pdf,דור 2 3 4
5665,PHI (משרת את הוט ופרטנר),NS4264M,להבות חביבה,מאגר אלונה,מ.א מנשה אלונה,מנשה,200874,699035,תורן קרקעי,29/07/2019,19/09/2024,09/09/2024,יש היתר,2.25,0.38,במבנה תחזוקה במרחק 35 מטר,http://documents.sviva.gov.il/B001_1_NS4264M_20190729_1512.pdf,http://documents.sviva.gov.il/B002_1_NS4264M_20240919_0701.pdf,דור 3 4
5666,PHI (משרת את הוט ופרטנר),NN0853B,עין גב,סילו,מ.א עמק הירדן,עמק הירדן,260270,743409,אנטנת עוקץ,05/03/2024,19/09/2024,09/09/2024,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,http://documents.sviva.gov.il/B001_1_NN0853B_20240305_0755.pdf,http://documents.sviva.gov.il/B002_1_NN0853B_20240919_0750.pdf,דור 2 3 4
5667,PHI (משרת את הוט ופרטנר),NN1861G,מגדל,מגדל,מ.מקומית מגדל,מגדל,248027,748712,תורן קרקעי,27/11/2017,19/09/2024,09/09/2024,יש היתר,0,0,אין אזור מאוכלס ברציפות,http://documents.sviva.gov.il/B001_1_NN1861G_20171127_1331.pdf,http://documents.sviva.gov.il/B002_1_NN1861G_20240919_0749.pdf,דור 2 3 4
5668,PHI (משרת את הוט ופרטנר),NS4263B,מכמורת,מגדל המים,מ.א עמק חפר,מכמורת,188551,701140,תורן קרקעי,21/12/2022,19/09/2024,09/09/2024,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,http://documents.sviva.gov.il/B001_1_NS4263B_20221221_1002.pdf,http://documents.sviva.gov.il/B002_1_NS4263B_20240919_0748.pdf,דור 2 3 4
5669,PHI (משרת את הוט ופרטנר),NS4926G,פרדס חנה-כרכור,דרך הבנים פינת דרך קדמה,מ.מקומית פרדס חנה-כרכור,פרדס חנה כרכור,200015,708998,תורן על הגג,23/11/2023,01/10/2024,09/09/2024,יש היתר,56.84,6.6,אלומות 3 במרחק 45 מטר,http://documents.sviva.gov.il/B001_1_NS4926G_20231123_1048.pdf,http://documents.sviva.gov.il/B002_1_NS4926G_20241001_0720.pdf,דור 3 4 5
5670,PHI (משרת את הוט ופרטנר),TC0036C,גבעתיים,כורזין  1,עירית גבעתיים,גבעתיים,182771,662934,תורן על הגג,11/11/2020,07/02/2021,10/09/2024,יש היתר,6.34,0.75,צפויה בתפוצת ישראל 2 במרחק 85 מטר,http://documents.sviva.gov.il/B001_1_TC0036C_20201111_0928.pdf,http://documents.sviva.gov.il/B002_1_TC0036C_20210207_1804.pdf,דור 2 3 4 5
5671,PHI (משרת את הוט ופרטנר),WE3036B,חולון,בצלאל 2א.ת. חולון,עירית חולון,חולון,180378,657893,תורן על הגג,09/09/2021,30/12/2021,10/09/2024,יש היתר,53.14,6.14,בבצלאל 5 במרחק 64 מטר,http://documents.sviva.gov.il/B001_1_WE3036B_20210909_0853.pdf,http://documents.sviva.gov.il/B002_1_WE3036B_20211230_1610.pdf,דור 2 3 4 5
5672,PHI (משרת את הוט ופרטנר),SO5302B,אשדוד,רח` המלך דוד,עירית אשדוד,אשדוד,166159,631549,תורן על הגג,19/08/2021,09/01/2022,10/09/2024,יש היתר,71.32,0.1,במבנה חד קומתי - קרקע במרחק 57 מטר,http://documents.sviva.gov.il/B001_1_SO5302B_20210819_1158.pdf,http://documents.sviva.gov.il/B002_1_SO5302B_20220109_1452.pdf,דור 2 3 4
